"LANGUAGE","正體中文"
"RON_NAM","RON: 道路(軌道)替換器(RON: The Network Replacer)"
"RON_DESC","一個替換道路(軌道)的工具。"
"RON_PNL_MAP","在地圖中的道路(軌道)"
"RON_PNL_AVA","可替換"
"RON_PNL_NET","道路(軌道)"
"RON_PNL_CRE","創建者"
"RON_PNL_REP","替換所有"
"RON_PNL_RES","替換"
"RON_PNL_DEL","DELETE ALL"
"RON_PNL_DES","DELETE"
"RON_PNL_UND","還原"
"RON_PNL_VPS","查看上一個路段"
"RON_PNL_VNS","查看下一個路段"
"RON_PNL_GLB","全局替換"
"RON_PNL_DIS","只在同一個行政區內替換"
"RON_PNL_SEG","替換個別分段"
"RON_PNL_HDV","隱藏遊戲預設和 “Network Extensions 2” 道路(軌道)"
"RON_PNL_WID","僅相同寬度"
"RON_PNL_ADV","顯示所有道路(軌道)類別 (高級選項)"
"RON_PNL_TYP","道路(軌道)類型"
"RON_PNL_ROA","道路 - 僅表面"
"RON_PNL_ROB","道路 - 高架和橋梁"
"RON_PNL_ROT","道路 - 隧道"
"RON_PNL_RAI","軌道 - 僅表面"
"RON_PNL_RAB","軌道 - 高架和橋梁"
"RON_PNL_RAT","軌道 - 隧道"
"RON_PNL_MTI","捷運 - 僅表面"
"RON_PNL_MTB","捷運 - 高架和橋梁"
"RON_PNL_MTT","捷運 - 隧道"
"RON_PNL_MOI","單軌列車"
"RON_PNL_PED","路徑 - 僅表面"
"RON_PNL_PEB","路徑 - 高架和橋梁"
"RON_PNL_PET","路徑 - 隧道"
"RON_PNL_PEA","路徑 - 教育園區和公園特區"
"RON_PNL_DEC","裝飾"
"RON_PNL_ELI","電線"
"RON_PNL_QUA","碼頭"
"RON_PNL_CAN","人工運河"
"RON_PNL_PIP","管道"
"RON_PNL_RUN","航空城特區 - 跑道"
"RON_PNL_TAX","航空城特區 - 滑行道"
"RON_PNL_CON","航空城特區 - 機場大廳"
"RON_PNL_RIP","替換中......"
"RON_STA_CUS","自訂軌道"
"RON_STA_RAO","Rail only"
"RON_STA_MTO","Metro only"
"RON_STA_RAM","Rail and metro"
"RON_TIP_VAN","該道路(軌道)是一條遊戲預設的普通道路(軌道)(基礎遊戲的一部分)。"
"RON_TIP_NEX","該道路(軌道)來自 “Network Extensions 2 (NExt2)” 模組(Mod)。"
"RON_TIP_MOD","該道路(軌道)來自一個模組(Mod)"
"RON_TIP_STA","這是一個車站軌道，只能用作車站的一部分。"
"RON_TIP_ELE","Elevated network"
"RON_TIP_BRI","Bridge network"
"RON_TIP_TUN","Tunnel network"
"RON_FIL_NAME","搜尋:"
"RON_OPT_RRP","放置鐵路建築時顯示鐵軌替換器"
"RON_OPT_ADV","啟用高級模式"
"RON_OPT_ADV2","(可以替換不同的道路(軌道)類型)"
"RON_OPT_NEX","Auto-replace missing Network Extension 2 roads on load"
"RON_OPT_NEX2","(替換道路(軌道)收藏必須先訂閱)"
"RON_OPT_NAR","Auto-replace missing North American Rails (NAR) tracks on load with:"
"RON_OPT_NAR2","(relevant replacement assets or mods must be susbscribed)"
"RON_OPT_MOM","Auto-replace missing Metro Overhaul Mod (MOM) tracks on load with:"
"RON_OPT_NAR_R2","Railway 2 USA"
"RON_OPT_NAR_BP","Vanilla/BloodyPenguin/BadPeanut"
"RON_WAR_DES","Are you SURE you want to delete this network segment?"
"RON_WAR_DEL","Are you SURE you want to delete all of these network segments?"
"RON_WAR_UND","This action CANNOT be undone!"
"TRN_CHOICE","語言設置"
"LANGUAGE_GAME","使用遊戲預設語言"
"KEY_KEY","快鍵"
"KEY_PRS","按任意鍵"
"ERR_NXT","RON was unable to replace the following networks on this map as the necessary replacements weren't available (disabled or not subscribed):"
"MES_CLS","關閉"
"MES_PAGE","請參閱模組(Mod)在Steam工作坊的頁面以獲得更多資訊。"
"NO","No"
"YES","Yes"
